Year,Balance,Principal,Interest
1,59500,50000,9500
2,69665,56000,13665
3,80542,62000,18542
4,92179,68000,24179
5,104632,74000,30632
6,117956,80000,37956
7,132213,86000,46213
8,147468,92000,55468
9,163791,98000,65791
10,181256,104000,77256
11,199944,110000,89944
12,219940,116000,103940
13,241336,122000,119336
14,264230,128000,136230
15,288726,134000,154726
16,314937,140000,174937
17,342982,146000,196982
18,372991,152000,220991
19,405100,158000,247100
20,439457,164000,275457
21,476219,170000,306219
22,515555,176000,339555
23,557643,182000,375643
24,602678,188000,414678
25,650866,194000,456866
26,702426,200000,502426
27,757596,206000,551596
28,816628,212000,604628
29,879792,218000,661792
30,947377,224000,723377
31,1019694,230000,789694
