Year,PV,PMT,Interest,FV
1,50000,6000,3500,-59500
2,59500,6000,4165,-69665
3,69665,6000,4877,-80542
4,80542,6000,5638,-92179
5,92179,6000,6453,-104632
6,104632,6000,7324,-117956
7,117956,6000,8257,-132213
8,132213,6000,9255,-147468
9,147468,6000,10323,-163791
10,163791,6000,11465,-181256
11,181256,6000,12688,-199944
12,199944,6000,13996,-219940
13,219940,6000,15396,-241336
14,241336,6000,16894,-264230
15,264230,6000,18496,-288726
16,288726,6000,20211,-314937
17,314937,6000,22046,-342982
18,342982,6000,24009,-372991
19,372991,6000,26109,-405100
20,405100,6000,28357,-439457
21,439457,6000,30762,-476219
22,476219,6000,33335,-515555
23,515555,6000,36089,-557643
24,557643,6000,39035,-602678
25,602678,6000,42187,-650866
26,650866,6000,45561,-702426
27,702426,6000,49170,-757596
28,757596,6000,53032,-816628
29,816628,6000,57164,-879792
30,879792,6000,61585,-947377
31,947377,6000,66316,-1019694
